model,tp,fp,tn,fn,accuracy,precision,recall,f1,num_erroneous,fail_rate,settings
Qwen1.5-0.5B-Chat_full_ep1_lr0.0001_Rv2_finetuned,0,0,1,0,1.0,0.0,0.0,0.0,814,0.9938949938949939,_temp0.2_top0.2_bal-1002-1002
Qwen1.5-0.5B-Chat_full_ep1_lr0.0001_Rv2_finetuned,0,0,3,1,0.75,0.0,0.0,0.0,908,0.9956140350877193,_temp0.2_top0.2_bal-500-500
Qwen1.5-0.5B-Chat_full_ep1_lr0.0001_Rv2_finetuned,0,0,1,2,0.3333333333333333,0.0,0.0,0.0,900,0.9966777408637874,_temp0.2_top0.2_bal-999-999
Qwen1.5-0.5B-Chat_full_ep1_lr2e-07_finetuned,575,9083,84,10,0.06757588187038556,0.059536135845930836,0.9829059829059829,0.11227179537244947,12586,0.5634345062225804,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep1_lr2e-07_Rv2_finetuned,601,9246,79,11,0.06843111603099528,0.061033817406316644,0.9820261437908496,0.1149249450234248,12401,0.5551526546691736,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep1_lr5e-05_finetuned,0,0,450,2,0.995575221238938,0.0,0.0,0.0,21886,0.9797654221505954,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep1_lr5e-05_Rv2_finetuned,0,0,6516,529,0.9249112845990064,0.0,0.0,0.0,15293,0.6846181394932402,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep5_lr0.0001_finetuned,556,4,4100,678,0.8722367928062945,0.9928571428571429,0.4505672609400324,0.6198439241917503,17000,0.76103500761035,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep5_lr0.0001_Rv2_finetuned,0,0,0,0,0.0,0.0,0.0,0.0,22338,1.0,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep5_lr2e-07_finetuned,590,9237,95,13,0.06894816305988928,0.060038668973237,0.978441127694859,0.1131351869606903,12403,0.5552421881994807,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep5_lr2e-07_Rv2_finetuned,619,9351,82,7,0.06968883586837658,0.062086258776328986,0.9888178913738019,0.11683654209135523,12279,0.5496911093204405,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep5_lr5e-05_finetuned,0,0,16595,1286,0.9280800850064314,0.0,0.0,0.0,4457,0.19952547228937237,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep5_lr5e-05_Rv2_finetuned,102,0,19226,1520,0.9270913277052955,1.0,0.06288532675709001,0.11832946635730858,1490,0.06670248007878951,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep5_lr5e-05_Rv2_finetuned,12,1,454,384,0.5475910693301997,0.9230769230769231,0.030303030303030304,0.058679706601467,52,0.05758582502768549,_temp0.2_top0.2_bal-1000-1000
Qwen1.5-0.5B-Chat_full_ep5_lr5e-05_Rv2_finetuned,9,0,457,390,0.544392523364486,1.0,0.022556390977443608,0.04411764705882353,56,0.06140350877192982,_temp0.2_top0.2_bal-1001-1001
Qwen1.5-0.5B-Chat_full_ep5_lr5e-05_Rv2_finetuned,11,0,464,385,0.5523255813953488,1.0,0.027777777777777776,0.05405405405405406,43,0.047619047619047616,_temp0.2_top0.2_bal-999-999
Qwen1.5-0.5B-Chat_non_finetuned,556,8932,43,5,0.06281459731543625,0.05860033726812816,0.9910873440285205,0.1106577768932232,12802,0.5731041274957471,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep10_lr0.0001_finetuned,1060,14,20149,591,0.9722655175575319,0.9869646182495344,0.6420351302241066,0.7779816513761467,524,0.0234577849404602,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep10_lr0.0001_Rv2_finetuned,684,10,19021,944,0.9538215789728448,0.9855907780979827,0.4201474201474201,0.5891472868217055,1679,0.07516339869281045,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep10_lr0.0001_Rv2_finetuned,77,26,421,312,0.5956937799043063,0.7475728155339806,0.19794344473007713,0.31300813008130085,67,0.07419712070874862,_temp0.2_top0.2_bal-1000-1000
Qwen1.5-0.5B_full_ep10_lr0.0001_Rv2_finetuned,73,26,429,315,0.5954922894424673,0.7373737373737373,0.18814432989690721,0.2997946611909651,69,0.0756578947368421,_temp0.2_top0.2_bal-1001-1001
Qwen1.5-0.5B_full_ep10_lr0.0001_Rv2_finetuned,1,19,104,6,0.8076923076923077,0.05,0.14285714285714285,0.07407407407407408,56,0.06837606837606838,_temp0.2_top0.2_bal-1002-1002
Qwen1.5-0.5B_full_ep10_lr0.0001_Rv2_finetuned,74,24,427,329,0.5866510538641686,0.7551020408163265,0.18362282878411912,0.2954091816367266,58,0.06359649122807018,_temp0.2_top0.2_bal-500-500
Qwen1.5-0.5B_full_ep10_lr0.0001_Rv2_finetuned,75,26,438,310,0.6042402826855123,0.7425742574257426,0.19480519480519481,0.308641975308642,54,0.059800664451827246,_temp0.2_top0.2_bal-999-999
Qwen1.5-0.5B_full_ep10_lr2e-07_finetuned,117,1081,3,0,0.09991673605328892,0.09766277128547579,1.0,0.17794676806083648,21137,0.9462351150505864,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep10_lr2e-07_Rv2_finetuned,177,1434,2,0,0.11097334159950403,0.10986964618249534,1.0,0.19798657718120805,20725,0.9277912078073238,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep10_lr5e-05_finetuned,1163,22,20145,491,0.9764905366390174,0.9814345991561182,0.7031438935912938,0.8193025713279324,517,0.023144417584385353,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep10_lr5e-05_Rv2_finetuned,908,1,19132,718,0.9653644202514572,0.9988998899889989,0.5584255842558425,0.7163708086785009,1579,0.07068672217745546,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep10_lr5e-05_Rv2_finetuned,97,10,466,316,0.6332958380202475,0.9065420560747663,0.23486682808716708,0.3730769230769231,14,0.015503875968992248,_temp0.2_top0.2_bal-1000-1000
Qwen1.5-0.5B_full_ep10_lr5e-05_Rv2_finetuned,98,20,462,319,0.6229143492769744,0.8305084745762712,0.23501199040767387,0.3663551401869159,13,0.01425438596491228,_temp0.2_top0.2_bal-1001-1001
Qwen1.5-0.5B_full_ep10_lr5e-05_Rv2_finetuned,91,15,474,312,0.6334080717488789,0.8584905660377359,0.22580645161290322,0.3575638506876228,11,0.012181616832779624,_temp0.2_top0.2_bal-999-999
Qwen1.5-0.5B_full_ep1_lr0.0001_finetuned,1468,216,19292,145,0.9829080062497041,0.8717339667458432,0.9101053936763794,0.8905065210797695,1217,0.05448115319187036,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep1_lr0.0001_Rv2_finetuned,0,0,3,0,1.0,0.0,0.0,0.0,22335,0.9998656997045393,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep1_lr2e-07_finetuned,185,1657,2,0,0.10140997830802603,0.1004343105320304,1.0,0.1825357671435619,20494,0.9174500850568538,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep1_lr2e-07_Rv2_finetuned,224,2075,1,0,0.09782608695652174,0.09743366681165724,1.0,0.1775663892191835,20038,0.897036440146835,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep1_lr5e-05_finetuned,945,14,18892,592,0.9703566012816123,0.9854014598540146,0.6148340923877684,0.7572115384615385,1895,0.08483301996597725,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep1_lr5e-05_Rv2_finetuned,0,2,19604,1632,0.9230624352575572,0.0,0.0,0.0,1100,0.04924344166890501,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep5_lr0.0001_Rv2_finetuned,0,0,0,3,0.0,0.0,0.0,0.0,22335,0.9998656997045393,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep5_lr2e-07_Rv2_finetuned,167,1416,1,0,0.10606060606060606,0.10549589387239419,1.0,0.19085714285714286,20754,0.9290894439967768,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep5_lr5e-05_Rv2_finetuned,707,2,19153,895,0.9567856626680156,0.997179125528914,0.44132334581772786,0.6118563392470792,1581,0.07077625570776255,_temp0.2_top0.2
Qwen1.5-0.5B_non_finetuned,404,3496,2,0,0.10404920553562276,0.10358974358974359,1.0,0.18773234200743497,18436,0.8253200823708479,_temp0.2_top0.2
Qwen2.5-0.5B_non_finetuned,1545,18197,5,1,0.07848896090743367,0.0782595481714112,0.999353169469599,0.145152198421646,2590,0.11594592174769451,_temp0.2_top0.2
Qwen3-0.6B_non_finetuned,709,10436,1176,167,0.1509449071108264,0.0636159712875729,0.8093607305936074,0.11796023625322354,9850,0.44095263676246754,_temp0.2_top0.2
Qwen3-1.7B_non_finetuned,11,990,16878,1548,0.8693570803520873,0.01098901098901099,0.007055805003207184,0.00859375,2911,0.13031605336198407,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep10_lr0.0001_finetuned,0,0,12,0,1.0,0.0,0.0,0.0,22327,0.99946282286584,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep10_lr0.0001_Rv2_finetuned,960,250,16615,502,0.9589676433677089,0.7933884297520661,0.6566347469220246,0.7185628742514971,4011,0.17955949503088905,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep10_lr2e-07_finetuned,807,12003,184,65,0.07588636189601042,0.06299765807962529,0.9254587155963303,0.11796520976465429,9279,0.4153908138597905,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep10_lr2e-07_Rv2_finetuned,753,11654,134,65,0.07036331905441853,0.0606915450955106,0.9205378973105135,0.11387523629489603,9732,0.43567015847434865,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep10_lr5e-05_finetuned,1214,21,19902,359,0.9823222925195385,0.982995951417004,0.77177368086459,0.8646723646723646,842,0.0376936162592891,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep10_lr5e-05_Rv2_finetuned,128,58,13394,1031,0.925467113818356,0.6881720430107527,0.11044003451251079,0.19033457249070632,7727,0.34591279434148087,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep1_lr0.0001_finetuned,0,0,0,0,0.0,0.0,0.0,0.0,22338,1.0,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep1_lr0.0001_Rv2_finetuned,0,1,15668,1310,0.9227869721420578,0.0,0.0,0.0,5359,0.23990509445787447,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep1_lr2e-07_finetuned,803,11980,165,60,0.07441574415744158,0.062817804897129,0.9304750869061413,0.11769016561629782,9330,0.41767391888262156,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep1_lr2e-07_Rv2_finetuned,775,11555,146,61,0.07346255084948553,0.06285482562854826,0.9270334928229665,0.11772747987239861,9801,0.43875906526994357,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep1_lr5e-05_finetuned,1032,4500,12994,275,0.7460241476517206,0.18655097613882862,0.7895944912012242,0.30179850855388207,3537,0.15834004834810636,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep1_lr5e-05_Rv2_finetuned,1,1,19294,1564,0.9249760306807286,0.5,0.0006389776357827476,0.001276324186343331,1478,0.0661652788969469,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr0.0001_finetuned,0,0,0,0,0.0,0.0,0.0,0.0,22338,1.0,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr0.0001_Rv2_finetuned,0,0,5,0,1.0,0.0,0.0,0.0,22333,0.9997761661742323,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr2e-07_finetuned,788,11985,171,82,0.07362198679563949,0.0616926328975182,0.9057471264367816,0.11551711500403138,9312,0.41686811710985766,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr2e-07_Rv2_finetuned,780,11607,147,63,0.07358894974994046,0.06296924194720271,0.9252669039145908,0.11791383219954649,9741,0.4360730593607306,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr5e-05_finetuned,1426,134,19741,145,0.9869905809941247,0.9141025641025641,0.9077021005728835,0.9108910891089109,892,0.03993195451696661,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr5e-05_Rv2_finetuned,1115,33,18783,438,0.9768766262457657,0.9712543554006968,0.7179652285898261,0.8256201406886338,1969,0.08814576058733996,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr5e-05_Rv2_finetuned,75,19,292,241,0.5853269537480064,0.7978723404255319,0.23734177215189872,0.36585365853658536,276,0.30564784053156147,_temp0.2_top0.2_bal-1000-1000
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr5e-05_Rv2_finetuned,72,17,297,246,0.5838607594936709,0.8089887640449438,0.22641509433962265,0.3538083538083538,280,0.30701754385964913,_temp0.2_top0.2_bal-1001-1001
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr5e-05_Rv2_finetuned,0,13,78,6,0.8041237113402062,0.0,0.0,0.0,240,0.29304029304029305,_temp0.2_top0.2_bal-1002-1002
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr5e-05_Rv2_finetuned,75,9,324,248,0.6082317073170732,0.8928571428571429,0.23219814241486067,0.36855036855036855,256,0.2807017543859649,_temp0.2_top0.2_bal-500-500
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr5e-05_Rv2_finetuned,63,15,319,242,0.5978090766823161,0.8076923076923077,0.20655737704918034,0.3289817232375979,264,0.292358803986711,_temp0.2_top0.2_bal-999-999
TinyLlama-1.1B-Chat-v1.0_non_finetuned,812,11762,26,16,0.06642358909321497,0.06457770001590583,0.9806763285024155,0.12117594388897178,9722,0.43522249082281317,_temp0.2_top0.2
